hello n,  x  =  0  0.000000 
 n,  x  =  1  1.000000 
 n,  x  =  2  2.000000 
 n,  x  =  3  3.000000 
 n,  x  =  4  4.000000 
 n,  x  =  5  5.000000 
 n,  x  =  6  6.000000 
 n,  x  =  7  7.000000 
 n,  x  =  8  8.000000 
 n,  x  =  9  9.000000 
 n,  x  =  10  10.000000 
 n,  x  =  11  11.000000 
 n,  x  =  12  12.000000 
 n,  x  =  13  13.000000 
 n,  x  =  14  14.000000 
 n,  x  =  15  15.000000 
 n,  x  =  16  16.000000 
 n,  x  =  17  17.000000 
 n,  x  =  18  18.000000 
 n,  x  =  19  19.000000 
 n,  x  =  20  20.000000 
 n,  x  =  21  21.000000 
 n,  x  =  22  22.000000 
 n,  x  =  23  23.000000 
 n,  x  =  24  24.000000 
 n,  x  =  25  25.000000 
 n,  x  =  26  26.000000 
 n,  x  =  27  27.000000 
 n,  x  =  28  28.000000 
 n,  x  =  29  29.000000 
 n,  x  =  30  30.000000 
 n,  x  =  31  31.000000 
 n,  x  =  32  0.000000 
 n,  x  =  33  1.000000 
 n,  x  =  34  2.000000 
 n,  x  =  35  3.000000 
 n,  x  =  36  4.000000 
 n,  x  =  37  5.000000 
 n,  x  =  38  6.000000 
 n,  x  =  39  7.000000 
 n,  x  =  40  8.000000 
 n,  x  =  41  9.000000 
 n,  x  =  42  10.000000 
 n,  x  =  43  11.000000 
 n,  x  =  44  12.000000 
 n,  x  =  45  13.000000 
 n,  x  =  46  14.000000 
 n,  x  =  47  15.000000 
 n,  x  =  48  16.000000 
 n,  x  =  49  17.000000 
 n,  x  =  50  18.000000 
 n,  x  =  51  19.000000 
 n,  x  =  52  20.000000 
 n,  x  =  53  21.000000 
 n,  x  =  54  22.000000 
 n,  x  =  55  23.000000 
 n,  x  =  56  24.000000 
 n,  x  =  57  25.000000 
 n,  x  =  58  26.000000 
 n,  x  =  59  27.000000 
 n,  x  =  60  28.000000 
 n,  x  =  61  29.000000 
 n,  x  =  62  30.000000 
 n,  x  =  63  31.000000 
