CURAND normal RNG  execution time (ms): 0.371712,  samples/sec: 1.721763e+07 
Monte Carlo kernel execution time (ms): 0.020480 
 n,  x  =  0  404.673859 
 n,  x  =  1  404.752350 
 n,  x  =  2  404.458252 
 n,  x  =  3  407.862091 
 n,  x  =  4  410.086823 
 n,  x  =  5  411.846802 
 n,  x  =  6  411.068878 
 n,  x  =  7  408.259155 
 n,  x  =  8  411.542542 
 n,  x  =  9  416.463348 
 n,  x  =  10  418.443115 
 n,  x  =  11  417.807190 
 n,  x  =  12  426.048859 
 n,  x  =  13  420.356049 
 n,  x  =  14  418.856384 
 n,  x  =  15  420.052124 
 n,  x  =  16  418.063049 
 n,  x  =  17  419.512024 
 n,  x  =  18  419.292755 
 n,  x  =  19  417.108154 
 n,  x  =  20  414.924530 
 n,  x  =  21  415.748413 
 n,  x  =  22  416.773010 
 n,  x  =  23  417.927948 
 n,  x  =  24  412.996460 
 n,  x  =  25  411.806946 
 n,  x  =  26  411.775970 
 n,  x  =  27  413.069061 
 n,  x  =  28  409.921143 
 n,  x  =  29  407.539673 
 n,  x  =  30  408.807068 
 n,  x  =  31  405.067413 
 n,  x  =  32  344.727692 
 n,  x  =  33  357.609985 
 n,  x  =  34  358.465271 
 n,  x  =  35  355.889343 
 n,  x  =  36  355.831116 
 n,  x  =  37  352.501556 
 n,  x  =  38  358.040985 
 n,  x  =  39  356.614594 
 n,  x  =  40  357.552124 
 n,  x  =  41  356.461670 
 n,  x  =  42  351.894226 
 n,  x  =  43  354.704071 
 n,  x  =  44  354.356293 
 n,  x  =  45  358.472198 
 n,  x  =  46  357.855133 
 n,  x  =  47  357.398834 
 n,  x  =  48  358.352356 
 n,  x  =  49  358.920685 
 n,  x  =  50  358.681946 
 n,  x  =  51  359.584106 
 n,  x  =  52  359.888062 
 n,  x  =  53  358.998688 
 n,  x  =  54  359.004639 
 n,  x  =  55  356.633453 
 n,  x  =  56  359.012146 
 n,  x  =  57  359.138245 
 n,  x  =  58  356.083893 
 n,  x  =  59  356.303467 
 n,  x  =  60  355.069489 
 n,  x  =  61  352.587006 
 n,  x  =  62  356.008209 
 n,  x  =  63  354.540680 
